,HDBSCAN_2_5,OPTICS_2_5,HDBSCAN_3_5,OPTICS_3_5,HDBSCAN_5_5,OPTICS_5_5,HDBSCAN_8_5,OPTICS_8_5,HDBSCAN_13_5,OPTICS_13_5,FOSC_5_single,FOSC_5_average,FOSC_5_ward,FOSC_5_complete,FOSC_5_weighted
61,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
62,2,8,2,0,0,0,1,7,0,5,3,3,3,3,3
63,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
64,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
65,3,5,3,5,3,5,1,0,0,0,3,3,3,3,3
66,4,0,4,0,3,0,1,5,0,4,3,3,3,3,3
67,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
68,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
69,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
70,4,6,4,6,3,6,1,6,0,4,3,3,3,3,3
71,0,0,0,0,0,0,1,0,0,4,3,3,3,3,3
72,0,0,0,0,3,0,1,6,0,4,3,3,3,3,3
73,4,6,4,6,3,6,1,6,0,4,3,3,3,3,3
74,0,0,0,0,0,0,1,0,0,4,3,3,3,3,3
75,4,0,0,0,3,0,1,5,0,4,3,3,3,3,3
76,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
77,3,5,3,5,3,5,1,0,0,4,3,3,3,3,3
78,4,0,4,0,3,6,1,6,0,4,3,3,3,3,3
79,4,0,4,0,3,0,1,6,0,4,3,3,3,3,3
80,3,5,3,5,3,5,1,5,0,4,3,3,3,3,3
81,2,8,2,0,0,0,1,7,0,5,3,3,3,3,3
82,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
83,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
84,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
85,2,7,2,7,2,7,1,7,0,0,3,3,3,3,3
86,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
87,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
88,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
89,2,0,2,0,2,0,1,0,0,4,3,3,3,3,3
90,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
91,4,6,4,6,3,6,1,6,0,4,3,3,3,3,3
92,4,0,4,0,3,0,1,5,0,4,3,3,3,3,3
93,4,0,4,0,3,6,1,6,0,4,3,3,3,3,3
94,3,5,3,5,3,5,1,5,0,4,3,3,3,3,3
95,3,5,3,5,3,5,1,5,0,4,3,3,3,3,3
96,2,7,2,7,2,7,1,7,0,5,3,3,3,3,3
97,4,6,4,6,3,6,1,6,0,4,3,3,3,3,3
98,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
99,0,0,0,0,0,0,1,0,0,0,3,3,3,3,3
