,Method,PB,AUCC,Silhouette,Noise,Penalty
63,OPTICS_3_128,-0.2760859574682482,0.38966923425464434,0.03443793974745906,5388,0.38966923425464434
64,HDBSCAN_5_128,-0.38681709884981264,0.6435798072890855,0.16429285326483944,3009,0.6591526959673766
65,OPTICS_5_128,-0.2760859574682482,0.38966923425464434,0.03443793974745906,5388,0.38966923425464434
66,HDBSCAN_8_128,-0.3968514877267068,0.6571604849211663,0.1703062686794043,2873,0.6745582238332578
67,OPTICS_8_128,-0.2760859574682482,0.38966923425464434,0.03443793974745906,5388,0.38966923425464434
68,HDBSCAN_13_128,-0.36286392733270023,0.5892059086053442,0.13224831450853783,3535,0.5995695514272769
69,OPTICS_13_128,-0.2760859574682482,0.38966923425464434,0.03443793974745906,5388,0.38966923425464434
70,FOSC_128_single,-0.6445112946628104,0.8589662187218913,0.3319535422470973,464,0.9474399637516991
71,FOSC_128_average,-0.7180831019694811,0.9785039989970402,0.4286103346766959,86,0.9902582691436339
72,FOSC_128_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
73,FOSC_128_complete,-0.524570656691002,0.9043095745790355,0.36404552344126456,320,0.9637516991391029
74,FOSC_128_weighted,-0.510631953359783,0.852848476236134,0.3466179044161871,277,0.9686225645672859
75,HDBSCAN_2_192,-0.43236498923366184,0.7104036513380959,0.1782698636688039,2140,0.7575894879927504
76,OPTICS_2_192,-0.23914802626051732,0.3066379700951518,-0.00012385913188320594,6121,0.3066379700951518
77,HDBSCAN_3_192,-0.41937535709144885,0.6897658028459712,0.15618282105515433,2385,0.729836882646126
78,OPTICS_3_192,-0.23914802626051732,0.3066379700951518,-0.00012385913188320594,6121,0.3066379700951518
79,HDBSCAN_5_192,-0.43810936128105044,0.7077371786204912,0.18980621458396255,2152,0.7562301767104667
80,OPTICS_5_192,-0.23914802626051732,0.3066379700951518,-0.00012385913188320594,6121,0.3066379700951518
81,HDBSCAN_8_192,-0.3890093201378809,0.607697287955999,0.09389430660911421,3177,0.6401223380154055
82,OPTICS_8_192,-0.23914802626051732,0.3066379700951518,-0.00012385913188320594,6121,0.3066379700951518
83,HDBSCAN_13_192,-0.3759445295870853,0.612599517192158,0.13808214912924446,2908,0.6705935659265972
84,OPTICS_13_192,-0.23914802626051732,0.3066379700951518,-0.00012385913188320594,6121,0.3066379700951518
85,FOSC_192_single,-0.6445112946628104,0.8589662187218913,0.3319535422470973,464,0.9474399637516991
86,FOSC_192_average,-0.7180831019694811,0.9785039989970402,0.4286103346766959,86,0.9902582691436339
87,FOSC_192_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
88,FOSC_192_complete,-0.572582177588306,0.9287507477570971,0.3422466917347465,191,0.978364295423652
89,FOSC_192_weighted,-0.48415407084284723,0.8306242005873381,0.316960633955609,114,0.9870865428183054
90,HDBSCAN_2_256,-0.4471290338356474,0.7097782172767236,0.16677187710973435,2013,0.7719755323969189
91,OPTICS_2_256,-0.25285754762021573,0.3560990938118366,0.028061884779045903,5278,0.4021295876755777
92,HDBSCAN_3_256,-0.4220045810133172,0.6897424851571868,0.16732286996413637,2216,0.7489805165382872
93,OPTICS_3_256,-0.25285754762021573,0.3560990938118366,0.028061884779045903,5278,0.4021295876755777
94,HDBSCAN_5_256,-0.4146129458863211,0.6564490103669933,0.14604580578426726,2599,0.705595831445401
95,OPTICS_5_256,-0.25285754762021573,0.3560990938118366,0.028061884779045903,5278,0.4021295876755777
96,HDBSCAN_8_256,-0.39583796224217227,0.6165301286476608,0.10800229718526348,2862,0.6758042591753511
97,OPTICS_8_256,-0.25285754762021573,0.3560990938118366,0.028061884779045903,5278,0.4021295876755777
98,HDBSCAN_13_256,-0.3399938961437923,0.5353501313180242,0.08828382201469155,3584,0.594019030357952
99,OPTICS_13_256,-0.25285754762021573,0.3560990938118366,0.028061884779045903,5278,0.4021295876755777
100,FOSC_256_single,-0.6445112946628104,0.8589662187218913,0.3319535422470973,464,0.9474399637516991
101,FOSC_256_average,-0.7173509649941565,0.9775666383513936,0.42265682232342106,85,0.9903715450838242
102,FOSC_256_ward,-0.5986968660745274,0.859903282825069,0.31058406829833984,0,1.0
103,FOSC_256_complete,-0.5675916104379966,0.8727207827440827,0.2747479555735936,537,0.939170820117807
104,FOSC_256_weighted,-0.5305412032064498,0.8327866973917819,0.30896862287717436,317,0.9640915269596738
