,Method,PB,AUCC,Silhouette,Noise,Penalty
31,FOSC_13_average,-0.4120497806892236,0.9555463932195034,0.7491218,177,0.9799501585863163
32,FOSC_13_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
33,FOSC_13_complete,-0.4136111669647592,0.9730589470667619,0.73449874,134,0.9848210240144993
34,FOSC_13_weighted,-0.42463297876021067,0.953744718891964,0.74133414,183,0.9792705029451745
35,HDBSCAN_15,-0.38989470826615924,0.8418291360360662,0.69339913,1381,0.8435659265971908
36,OPTICS_15,-0.38791766696937646,0.8298550696640387,0.70349866,1496,0.8305391934753058
37,FOSC_15_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
38,FOSC_15_average,-0.4122586209577745,0.9526652698996818,0.7302386,203,0.9770049841413684
39,FOSC_15_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
40,FOSC_15_complete,-0.5231800699244504,0.9452456894065356,0.49432093,64,0.9927503398278206
41,FOSC_15_weighted,-0.4209053141465392,0.9453038215403285,0.70042765,162,0.9816492976891709
42,HDBSCAN_17,-0.3884038945265787,0.8271864401415325,0.6767399,1512,0.828726778432261
43,OPTICS_17,-0.38497639672593487,0.8141117712148273,0.67816156,1635,0.8147938377888536
44,FOSC_17_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
45,FOSC_17_average,-0.4290131524004499,0.9406582405546147,0.6836686,226,0.9743996375169914
46,FOSC_17_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
47,FOSC_17_complete,-0.5233556935546931,0.9452854394697591,0.49038592,64,0.9927503398278206
48,FOSC_17_weighted,-0.420194192227194,0.9368120984685111,0.6770739,238,0.9730403262347077
49,HDBSCAN_19,-0.39084231404039094,0.8330229689281626,0.64670855,1443,0.8365428183053919
50,OPTICS_19,-0.382361465915961,0.8019915649794384,0.65886074,1742,0.8026733121884911
51,FOSC_19_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
52,FOSC_19_average,-0.4289968483549944,0.9389667702879647,0.67508477,241,0.9727004984141369
53,FOSC_19_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
54,FOSC_19_complete,-0.5232816570801162,0.9446061508582799,0.4874561,72,0.9918441323062981
55,FOSC_19_weighted,-0.420914022315593,0.9350320781212269,0.66319263,255,0.9711146352514726
56,HDBSCAN_21,-0.3839611321739413,0.8004145410466665,0.6414352,1749,0.801880380607159
57,OPTICS_21,-0.3806883360914971,0.7910282962611499,0.6429251,1839,0.7916855459900317
58,FOSC_21_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
59,FOSC_21_average,-0.4701078511054015,0.9335535132600215,0.606762,214,0.975758948799275
60,FOSC_21_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
61,FOSC_21_complete,-0.5224041273332555,0.9432828904680156,0.4807406,72,0.9918441323062981
62,FOSC_21_weighted,-0.4263131669792288,0.945829097428428,0.6566018,242,0.9725872224739466
63,HDBSCAN_23,-0.38143877883698446,0.7902371148866366,0.61597127,1836,0.7920253738106027
64,OPTICS_23,-0.37818050878477805,0.7762152246202088,0.62155706,1970,0.7768463978251019
65,FOSC_23_single,-0.1529811514878511,0.9329924177765765,0.34063056,0,1.0
66,FOSC_23_average,-0.47007205900526655,0.9264479003815433,0.6009105,280,0.968282736746715
67,FOSC_23_ward,-0.5986968660745274,0.859903282825069,0.31058407,0,1.0
68,FOSC_23_complete,-0.522719442070681,0.943460094536754,0.47417867,71,0.9919574082464885
